X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
2.347540,48.879110,1,30,1,244
2.390530,48.840770,1,30,2,108
2.418970,48.762520,1,30,2,142
2.074000,48.905820,1,45,1,182
5.753120,45.852010,1,50,2,61
5.331870,45.954920,1,50,2,21
3.301200,49.846060,1,50,2,38
3.910690,49.893340,1,50,1,14
3.707580,49.684960,1,50,1,19
3.513270,49.049870,1,50,2,92
3.452480,49.040070,1,50,2,82
3.198240,49.023570,1,50,2,53
3.413360,46.155070,1,50,1,241
3.415300,46.140000,1,50,1,175
3.457430,46.170100,1,50,1,5
7.296110,43.700090,1,50,1,196
7.279420,43.706970,1,50,1,270
7.515710,43.783700,1,50,1,252
7.470870,43.758060,1,50,1,248
7.516240,43.783810,1,50,1,73
7.271500,43.712750,1,50,1,188
7.466300,43.759190,1,50,1,135
7.161550,43.655730,1,50,1,241
7.284050,43.711800,1,50,1,358
7.428790,43.751580,1,50,2,94
7.421100,43.743830,1,50,2,50
7.425610,43.748730,1,50,2,51
7.412410,43.738830,1,50,2,25
7.441330,43.754530,1,50,2,90
7.448950,43.757620,1,50,2,38
7.565620,44.112310,1,50,2,159
7.521860,43.959180,1,50,2,30
7.566150,44.117260,1,50,2,15
7.597790,44.080230,1,50,2,145
7.518730,43.947390,1,50,2,95
7.475390,43.760610,1,50,2,134
4.359740,44.474950,1,50,1,51
4.613290,44.305940,1,50,2,4
4.840690,45.058010,1,50,1,202
4.189830,44.432590,1,50,2,38
4.725810,50.017800,1,50,2,13
4.585840,49.817450,1,50,1,134
4.682770,49.784160,1,50,1,305
5.054620,49.761950,1,50,1,259
1.601330,42.857110,1,50,1,185
4.085160,48.289380,1,50,1,237
4.698310,48.240100,1,50,1,143
2.363320,43.210410,1,50,1,112
5.438570,43.284810,1,50,1,263
5.364790,43.302930,1,50,1,194
5.493060,43.508620,1,50,2,107
5.713360,43.275560,1,50,2,92
0.411150,49.142140,1,50,1,262
0.132270,49.319520,1,50,2,137
2.460680,44.944550,1,50,1,209
-0.134900,45.801790,1,50,1,114
0.118130,45.669080,1,50,1,311
0.068630,45.817480,1,50,1,125
-0.135630,45.802050,1,50,1,292
-0.590630,45.729260,1,50,1,105
-0.588590,45.728940,1,50,1,299
-1.034500,45.641240,1,50,2,120
2.413920,47.109780,1,50,1,26
2.391220,47.089130,1,50,1,221
2.432370,47.366580,1,50,1,184
2.243820,47.308920,1,50,2,56
2.169040,46.993440,1,50,2,98
9.446720,42.682400,1,50,2,178
8.715950,41.908780,1,50,2,95
8.809060,41.961760,1,50,2,55
8.756440,41.932100,1,50,1,332
8.744320,41.933500,1,50,1,70
9.058230,41.490420,1,50,2,157
5.033700,47.336970,1,50,1,56
5.071490,47.316280,1,50,1,284
5.256740,47.218400,1,50,1,300
5.008020,47.290100,1,50,1,315
2.134540,46.025370,1,50,2,99
2.468940,46.221680,1,50,2,24
0.029250,44.851720,1,50,2,86
1.159970,44.803480,1,50,1,325
6.806360,47.498110,1,50,1,324
6.009560,47.250990,1,50,1,70
6.385310,46.765600,1,50,2,121
6.374120,46.867470,1,50,2,33
6.668630,47.125500,1,50,2,65
4.800100,44.705310,1,50,2,18
1.388850,48.401960,1,50,1,237
1.532200,48.416690,1,50,1,138
1.709590,48.149670,1,50,1,246
1.580830,48.552220,1,50,2,172
1.824650,48.203540,1,50,2,168
1.430680,48.321990,1,50,2,13
-3.885700,48.204430,1,50,2,105
4.616320,44.153180,1,50,1,198
1.419450,43.610130,1,50,1,118
