X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
5.699880,43.275840,69,30,1,70
-1.024080,45.624630,69,30,1,332
-1.029250,45.623940,69,30,1,242
2.030250,47.238420,69,30,1,311
1.533250,45.160880,69,30,1,269
4.083190,44.133840,69,30,1,205
5.759140,45.170360,69,30,1,320
2.988380,50.606060,69,30,1,319
2.988150,50.606170,69,30,1,138
1.370630,44.035620,69,30,1,215
1.370150,44.017630,69,30,1,42
5.985700,43.136150,69,30,1,177
3.587120,47.822260,69,30,2,36
2.090440,49.042470,69,30,1,14
5.787180,43.828020,69,50,1,193
6.998920,43.550720,69,50,1,269
7.286950,43.700670,69,50,1,292
7.037850,43.546440,69,50,1,94
6.993700,43.550500,69,50,1,265
7.256280,43.693780,69,50,1,253
7.178860,43.656620,69,50,2,82
7.282100,43.706200,69,50,1,115
7.286540,43.731250,69,50,1,61
7.400920,43.725130,69,50,1,122
7.155010,43.656200,69,50,2,64
7.151610,43.650410,69,50,1,58
7.158100,43.654430,69,50,1,240
7.107170,43.571870,69,50,1,277
7.286860,43.700880,69,50,1,205
7.231950,43.682100,69,50,1,40
7.260560,43.707150,69,50,1,83
7.251310,43.700370,69,50,1,238
4.744980,44.633230,69,50,1,199
4.743920,44.631750,69,50,1,15
4.089240,48.267120,69,50,2,157
3.714930,48.516370,69,50,2,7
4.084200,48.288970,69,50,1,58
2.345040,43.212440,69,50,1,181
2.352110,43.216420,69,50,1,271
2.354840,43.214900,69,50,1,340
2.363840,43.216160,69,50,1,276
2.550050,43.187620,69,50,1,94
2.761660,43.203330,69,50,2,118
2.356130,43.216330,69,50,1,272
5.387090,43.260540,69,50,1,199
5.417450,43.275920,69,50,1,233
5.378410,43.347290,69,50,1,308
5.392750,43.288320,69,50,1,69
5.402970,43.309400,69,50,1,195
4.803130,43.388210,69,50,1,146
5.003830,43.591620,69,50,2,12
5.400950,43.306620,69,50,1,0
5.384500,43.283940,69,50,1,75
5.398970,43.333250,69,50,2,165
4.632360,43.675010,69,50,1,97
4.836330,43.868520,69,50,1,176
5.603460,43.344970,69,50,2,172
5.577750,43.645870,69,50,2,75
5.343490,43.395220,69,50,2,165
4.995380,43.807480,69,50,1,0
5.623080,43.287520,69,50,2,28
4.983470,43.411160,69,50,2,35
5.641050,43.190730,69,50,1,282
