X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
3.302920,49.838120,12,30,1,310
3.266940,49.823260,12,30,0,0
3.278830,49.826830,12,30,2,172
3.291500,49.858950,12,30,0,0
3.295710,49.859260,12,30,0,0
3.269270,49.823140,12,30,0,0
3.287530,49.848820,12,30,2,147
3.289910,49.845710,12,30,0,0
3.288870,49.827310,12,30,1,48
3.287800,49.848510,12,30,1,328
3.285360,49.826090,12,30,1,206
4.856840,44.932830,12,30,0,0
5.920440,47.275510,12,30,0,0
4.890500,44.839100,12,30,0,0
1.318830,43.577140,12,30,1,323
1.331750,43.572390,12,30,1,142
5.448750,45.561470,12,30,1,111
4.895240,49.088710,12,30,1,140
4.898950,49.092000,12,30,1,184
3.030390,50.454660,12,30,0,0
3.030630,50.454180,12,30,0,0
4.160900,50.242000,12,30,0,0
4.191100,50.244800,12,30,0,0
3.457990,50.365780,12,30,1,23
2.480750,48.813740,12,30,0,0
3.461110,50.372970,12,30,1,228
3.097910,45.778020,12,30,1,54
-1.664950,43.384620,12,30,1,239
-1.667460,43.382110,12,30,1,204
-1.672920,43.388340,12,30,1,238
-1.673060,43.377790,12,30,1,69
7.489790,48.465340,12,30,0,0
7.492600,48.460220,12,30,1,288
