X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
5.862300,46.064450,13,0,1,233
2.776510,43.202260,13,0,1,1
4.595110,44.087590,13,0,1,315
1.482860,43.859460,13,0,1,55
-1.702400,48.216530,13,0,1,265
0.172930,47.211150,13,0,1,27
-0.919850,43.797090,13,0,1,256
-0.920050,43.798660,13,0,1,291
-0.920100,43.799200,13,0,1,304
-0.760990,43.841440,13,0,1,173
-0.761990,43.843640,13,0,1,135
-0.760160,43.844170,13,0,1,312
-0.722840,43.856350,13,0,1,160
-0.667290,43.863810,13,0,1,138
1.957730,47.868260,13,0,2,15
3.422440,50.125800,13,0,2,109
3.578630,50.336350,13,0,1,3
-0.765030,43.479760,13,0,1,115
7.348030,48.073720,13,0,1,6
2.987980,48.835830,13,0,2,343
3.024080,48.761150,13,0,2,320
2.395210,43.497570,13,0,1,11
2.408470,43.501160,13,0,1,75
1.592450,43.915410,13,0,1,330
2.207860,43.955080,13,0,1,100
2.167260,43.961450,13,0,1,155
1.124440,43.994000,13,0,1,127
1.124640,43.994130,13,0,1,293
7.118310,43.561660,13,30,1,210
1.852680,42.931270,13,30,1,140
1.647540,43.080110,13,30,1,10
1.636680,43.153290,13,30,1,15
1.636670,43.153330,13,30,1,170
1.599790,43.162430,13,30,1,160
4.071470,48.304090,13,30,1,140
2.762790,43.197540,13,30,1,300
3.074780,44.105980,13,30,1,83
3.081890,44.111130,13,30,1,70
2.029350,44.349420,13,30,1,205
4.343940,43.729110,13,30,0,0
0.575620,43.081820,13,30,1,349
1.322480,43.324340,13,30,1,85
1.484580,43.353750,13,30,1,125
1.623360,43.356100,13,30,1,175
1.623930,43.359240,13,30,1,270
1.752110,43.424510,13,30,1,320
1.497140,43.518260,13,30,1,61
1.397800,43.677500,13,30,1,155
1.392560,43.677920,13,30,1,40
1.611610,43.798200,13,30,1,45
1.606600,43.800150,13,30,1,10
1.085900,43.613300,13,30,1,28
1.078500,43.613750,13,30,1,325
0.587140,43.629530,13,30,1,11
0.589760,43.642380,13,30,1,180
0.589790,43.642380,13,30,1,275
0.085760,43.946660,13,30,1,338
3.453980,43.285660,13,30,1,296
3.228430,43.343970,13,30,1,24
3.244750,43.348050,13,30,1,145
3.243740,43.352720,13,30,1,321
3.527380,43.359200,13,30,1,308
3.103360,43.383500,13,30,1,334
3.601890,43.424100,13,30,1,247
3.601300,43.425070,13,30,1,92
3.262550,43.439800,13,30,1,222
3.263570,43.440600,13,30,1,0
3.799320,43.486070,13,30,1,123
3.796360,43.480630,13,30,1,56
3.330340,43.532010,13,30,1,255
-0.992340,43.676590,13,30,1,79
-1.008150,43.696450,13,30,1,283
-1.023250,43.702950,13,30,1,197
-1.052920,43.725440,13,30,1,98
-1.057390,43.725620,13,30,1,325
-1.052750,43.726650,13,30,1,99
-1.055970,43.727050,13,30,1,286
-0.939410,43.782220,13,30,1,185
-0.812440,43.833770,13,30,1,42
-0.812410,43.833880,13,30,1,198
-0.811930,43.833880,13,30,1,161
-0.333040,44.025450,13,30,1,223
2.020870,44.611260,13,30,1,180
0.336810,44.138450,13,30,1,262
0.604200,44.193510,13,30,1,242
6.225040,48.748080,13,30,1,134
6.169770,49.097530,13,30,1,242
3.284860,50.355230,13,30,1,153
-0.613400,43.168150,13,30,1,260
-0.611940,43.181950,13,30,1,69
-0.613500,43.185210,13,30,1,338
-0.116690,43.188730,13,30,1,263
-0.116980,43.189310,13,30,1,257
-0.265110,43.268290,13,30,1,210
-0.313030,43.280310,13,30,1,176
-0.339540,43.280780,13,30,1,130
-0.352490,43.291180,13,30,1,352
-0.348430,43.291390,13,30,1,92
-0.359650,43.298330,13,30,1,167
-0.365140,43.303600,13,30,1,1
-0.380260,43.308790,13,30,1,265
-0.428570,43.324610,13,30,1,257
-0.425890,43.326700,13,30,1,42
-0.262910,43.327480,13,30,1,137
-1.034540,43.328740,13,30,1,226
-0.403840,43.330710,13,30,1,38
-0.405130,43.330830,13,30,1,60
-0.404950,43.330930,13,30,1,210
-0.408900,43.331180,13,30,1,10
