X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
5.511880,47.997580,5,30,1,190
4.288250,48.973750,5,50,1,213
5.278480,49.093900,5,50,1,349
5.621100,49.129200,5,50,1,208
-1.154492,46.627005,5,50,1,82
-0.821691,46.435929,5,50,1,130
4.994120,45.820550,5,70,1,60
5.032330,45.827540,5,70,1,323
3.240770,49.861480,5,70,1,300
3.294930,49.812390,5,70,1,130
3.135360,46.098110,5,70,1,202
2.966331,46.327640,5,70,1,10
6.028440,44.440820,5,70,1,161
1.616090,43.154120,5,70,1,356
1.636070,43.234390,5,70,1,54
2.741070,43.171850,5,70,1,169
2.418110,43.201940,5,70,1,135
2.310060,43.199870,5,70,1,234
2.099850,43.238940,5,70,1,222
1.946700,43.290810,5,70,1,218
4.544820,43.690510,5,70,1,328
4.857830,43.637810,5,70,1,87
5.176900,43.593360,5,70,1,292
5.503230,43.661130,5,70,1,74
5.538230,43.483190,5,70,1,120
5.598230,43.324240,5,70,1,36
5.644040,43.367110,5,70,1,277
-0.849420,45.944000,5,70,1,149
2.064400,47.243890,5,70,1,83
1.617550,45.284060,5,70,1,33
5.033860,47.261700,5,70,1,188
5.138010,47.276880,5,70,1,119
0.429760,45.065380,5,70,1,227
1.167770,45.151700,5,70,1,309
6.670744,47.425229,5,70,1,125
4.763360,44.481280,5,70,1,90
4.791170,44.756740,5,70,1,30
4.795030,44.668790,5,70,1,11
4.880330,44.905010,5,70,1,265
4.887570,44.969630,5,70,1,185
5.097190,45.025630,5,70,1,80
4.181420,43.726440,5,70,1,71
0.595510,43.100060,5,70,1,354
0.896020,43.120700,5,70,1,305
1.426900,43.657950,5,70,1,333
1.428000,43.658340,5,70,1,338
1.499420,43.545850,5,70,1,146
1.507960,43.647120,5,70,1,71
0.756730,43.115685,5,70,1,342
1.696150,43.398640,5,70,1,227
1.616840,43.382350,5,70,1,42
-0.435120,45.023500,5,70,1,340
-0.268420,44.885060,5,70,1,70
-0.228090,44.286160,5,70,1,190
-0.242370,44.445320,5,70,1,219
-0.454310,44.658960,5,70,1,130
3.830600,43.562410,5,70,1,229
3.685223,43.477408,5,70,0,0
0.253570,47.270340,5,70,1,245
0.496680,47.638250,5,70,1,310
0.657400,47.218160,5,70,1,190
0.735440,47.311800,5,70,1,81
0.819570,47.490040,5,70,1,68
4.832220,45.477270,5,70,1,185
5.120560,45.648110,5,70,1,104
5.622080,45.283270,5,70,1,348
5.900940,45.272040,5,70,1,216
5.574580,46.849140,5,70,1,70
-1.103780,43.517170,5,70,1,197
-0.276710,43.664650,5,70,1,282
-0.270920,43.722180,5,70,1,178
-0.393810,43.946950,5,70,1,26
-0.343110,44.044900,5,70,1,23
4.120610,45.822480,5,70,1,244
4.242140,45.560870,5,70,1,297
-1.492330,47.114580,5,70,1,150
1.854520,47.949680,5,70,1,279
1.526370,44.990900,5,70,1,192
-0.604480,47.326340,5,70,1,191
-0.341420,47.539390,5,70,1,193
3.984710,49.321480,5,70,1,328
4.077620,49.211420,5,70,1,144
4.320980,49.041380,5,70,1,1
4.323290,49.044750,5,70,1,280
4.435330,49.033380,5,70,1,94
4.883520,49.076360,5,70,1,212
-1.027500,48.082670,5,70,1,87
5.883100,48.629560,5,70,1,167
5.924360,49.199230,5,70,1,264
6.896580,49.075240,5,70,1,112
3.272600,50.229920,5,70,1,240
2.168820,49.205250,5,70,1,124
2.626880,49.215640,5,70,1,57
0.191030,48.633070,5,70,1,318
1.641170,50.688780,5,70,1,70
2.172580,50.718530,5,70,1,70
2.911830,50.325400,5,70,1,217
3.161590,45.841260,5,70,1,4
3.241320,45.827660,5,70,1,101
-0.418900,43.345280,5,70,1,112
-0.748730,43.467110,5,70,1,46
-0.350340,43.330490,5,70,1,115
-0.199813,43.272597,5,70,1,45
-0.321130,43.471330,5,70,1,151
-0.292720,43.565260,5,70,1,199
-1.186880,43.529520,5,70,1,73
0.023650,43.220860,5,70,1,231
0.108520,43.213640,5,70,1,348
0.240000,43.177500,5,70,1,218
0.342820,43.103430,5,70,1,262
0.390420,43.097710,5,70,1,3
2.858910,42.666700,5,70,1,182
2.897380,42.781810,5,70,1,300
2.973040,42.939050,5,70,1,273
2.956150,43.033220,5,70,1,271
2.817720,42.523570,5,70,1,11
2.821800,42.527580,5,70,1,31
7.601980,48.769750,5,70,1,264
4.732970,45.973120,5,70,1,30
4.819310,45.900250,5,70,1,225
4.833060,46.753450,5,70,1,178
5.887500,45.602700,5,70,1,313
6.002210,45.512480,5,70,1,131
6.311850,45.620300,5,70,1,238
6.459350,45.218720,5,70,1,70
6.009710,46.120520,5,70,1,266
6.127180,45.990000,5,70,1,173
0.335730,49.551790,5,70,1,18
1.242880,49.647110,5,70,1,254
1.702280,49.759640,5,70,1,220
2.539790,48.425740,5,70,1,167
2.656820,48.588400,5,70,1,96
2.767430,48.176380,5,70,1,357
1.930130,48.553980,5,70,1,243
2.248530,49.853290,5,70,1,236
2.394230,49.859130,5,70,1,70
1.410810,44.052210,5,70,1,62
6.122830,43.257710,5,70,1,60
6.729180,43.468950,5,70,1,250
4.750910,44.290200,5,70,1,180
4.795640,44.135400,5,70,1,45
4.888290,43.981940,5,70,1,303
4.915800,43.892820,5,70,1,157
-1.345720,46.672560,5,70,1,61
0.289260,46.549000,5,70,1,303
