X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
4.323900,43.866420,19,70,0,0
5.628830,45.295670,19,70,1,8
5.622950,45.307430,19,70,1,152
7.498630,48.523580,19,70,1,98
7.503450,48.523210,19,70,1,278
4.385160,46.696830,19,70,1,212
3.310880,49.365620,19,90,1,148
3.364370,49.375180,19,90,1,217
3.339290,49.483790,19,90,1,159
3.334690,49.402460,19,90,1,351
3.684820,46.539670,19,90,1,283
3.621070,46.531430,19,90,1,98
3.236340,46.455060,19,90,1,236
4.862200,44.920190,19,90,1,153
3.037060,43.180290,19,90,1,124
3.059960,43.173490,19,90,1,255
4.467670,43.666540,19,90,1,43
4.478290,43.671150,19,90,1,57
4.507980,43.679640,19,90,1,261
4.514520,43.680330,19,90,1,80
4.517070,43.680680,19,90,1,261
4.521940,43.681190,19,90,1,80
4.525500,43.681660,19,90,1,261
4.532900,43.682460,19,90,1,81
4.544690,43.682990,19,90,1,270
0.262570,49.144330,19,90,1,211
0.172420,49.137290,19,90,1,127
-0.063190,49.120210,19,90,1,70
0.972790,45.595730,19,90,1,201
0.972520,45.569220,19,90,1,331
0.870420,45.355850,19,90,1,359
0.886390,45.376250,19,90,1,209
0.715730,45.167010,19,90,1,205
0.700550,45.142470,19,90,1,35
6.818950,47.286870,19,90,1,210
6.806700,47.303950,19,90,1,226
6.726790,47.182170,19,90,1,192
6.761350,47.459000,19,90,1,161
6.065620,47.216560,19,90,1,232
4.872070,44.905000,19,90,1,308
1.658050,49.215110,19,90,1,113
-4.596410,48.427480,19,90,1,90
-4.554310,48.420050,19,90,1,90
4.367110,43.811810,19,90,1,52
4.393350,43.782410,19,90,1,152
4.388320,43.788760,19,90,1,143
4.270430,43.908480,19,90,1,143
4.371090,43.807860,19,90,1,295
4.366810,43.811280,19,90,1,127
4.366280,43.812120,19,90,1,304
4.360760,43.817390,19,90,1,116
4.323760,43.866260,19,90,1,6
4.311560,43.878490,19,90,1,327
4.297630,43.886610,19,90,1,123
4.289660,43.893950,19,90,1,355
4.279080,43.905050,19,90,1,303
3.971360,44.065570,19,90,1,144
3.547970,44.422700,19,90,0,0
3.551860,44.426370,19,90,0,0
-0.817940,45.138160,19,90,1,163
-0.802460,45.101350,19,90,1,343
-0.196260,45.362350,19,90,1,46
-0.180970,45.385570,19,90,1,194
-0.178990,45.402540,19,90,1,3
3.656830,43.454520,19,90,1,238
3.669900,43.466320,19,90,1,216
3.382610,43.314800,19,90,1,267
3.374000,43.314560,19,90,1,87
3.347660,43.313710,19,90,1,267
3.336050,43.313350,19,90,1,88
3.743370,43.841410,19,90,1,339
3.741530,43.852370,19,90,1,199
3.696100,43.458860,19,90,1,131
3.397900,43.311500,19,90,1,287
3.318230,43.314120,19,90,1,98
-1.714380,48.118080,19,90,1,290
5.518960,45.345060,19,90,1,123
5.763700,45.071060,19,90,1,19
5.299060,45.584030,19,90,1,266
5.326940,45.582190,19,90,1,107
4.833070,45.486320,19,90,1,185
3.320500,45.358980,19,90,1,123
3.493580,45.210770,19,90,1,315
3.512910,45.184470,19,90,1,156
3.590390,45.138970,19,90,1,103
3.602030,45.137100,19,90,1,281
3.633490,45.137520,19,90,1,118
3.652350,45.150530,19,90,1,248
3.690580,45.130260,19,90,1,344
3.691200,45.128940,19,90,1,156
3.711240,45.124030,19,90,1,287
3.805590,45.103470,19,90,1,30
3.425950,44.482930,19,90,0,0
3.424220,44.485490,19,90,0,0
3.322200,44.479940,19,90,0,0
3.298300,44.484590,19,90,0,0
3.269160,44.489650,19,90,0,0
4.297000,49.062360,19,90,1,178
4.244360,49.122690,19,90,1,142
4.253560,49.113920,19,90,1,330
4.568180,48.731040,19,90,1,295
4.577590,48.793070,19,90,1,164
4.582650,48.770470,19,90,1,22
4.583830,48.781250,19,90,1,309
4.593750,48.744240,19,90,1,12
4.600400,48.738450,19,90,1,110
5.299790,49.129530,19,90,1,59
5.354690,49.152680,19,90,1,238
3.036330,49.245520,19,90,1,24
1.611060,50.701840,19,90,1,178
1.611290,50.699090,19,90,1,359
2.975770,42.780270,19,90,1,257
7.477950,48.577290,19,90,1,342
7.310140,48.520550,19,90,1,76
7.414070,48.535880,19,90,1,262
7.392090,48.533620,19,90,1,81
7.491100,48.455970,19,90,1,196
7.488070,48.452170,19,90,1,49
7.331360,48.522430,19,90,1,262
7.402120,48.661810,19,90,1,299
7.478790,48.593420,19,90,1,348
7.454800,48.639270,19,90,1,315
7.441930,48.644950,19,90,1,305
7.385400,48.691540,19,90,1,159
7.373380,48.713400,19,90,1,174
7.375450,48.700110,19,90,1,353
7.396220,48.664570,19,90,1,136
7.479970,48.605130,19,90,1,165
7.480000,48.605800,19,90,1,344
7.480820,48.598910,19,90,1,193
7.504480,48.523480,19,90,1,20
7.513100,48.532790,19,90,1,66
7.523340,48.538100,19,90,1,352
7.513840,48.549020,19,90,1,292
7.385230,48.674680,19,90,1,351
7.494630,48.551780,19,90,1,96
7.514750,48.548550,19,90,1,121
7.522900,48.537430,19,90,1,215
7.512200,48.532480,19,90,1,225
7.164270,48.162390,19,90,1,310
7.150340,48.165110,19,90,1,122
7.148500,48.165870,19,90,1,290
7.131080,48.170640,19,90,1,95
7.212480,48.254760,19,90,1,65
7.255980,48.266550,19,90,1,225
4.337070,45.916000,19,90,1,99
4.356480,45.909390,19,90,1,334
4.383630,45.895110,19,90,1,143
4.386750,45.894760,19,90,1,110
4.400330,45.893730,19,90,1,296
4.409850,45.892120,19,90,1,279
4.475140,45.878830,19,90,1,155
4.504780,45.874750,19,90,1,235
4.622790,45.838570,19,90,1,39
4.640620,45.841070,19,90,1,237
4.643270,45.842200,19,90,1,62
4.653680,45.842310,19,90,1,358
4.663340,45.832020,19,90,2,164
4.854660,45.541040,19,90,1,107
4.491060,46.747450,19,90,1,211
4.493810,46.748860,19,90,1,68
4.459900,46.728030,19,90,2,232
4.425680,46.709520,19,90,2,51
-0.339220,46.300120,19,90,2,95
-0.374910,46.308940,19,90,2,116
-0.403710,46.318040,19,90,1,87
-0.301910,46.296150,19,90,2,131
-0.253750,46.280450,19,90,1,301
-0.249430,46.278570,19,90,1,121
-0.226290,46.267390,19,90,1,182
-0.215450,46.251520,19,90,2,72
-0.188050,46.247110,19,90,1,312
-0.185100,46.245090,19,90,1,131
-0.167330,46.233230,19,90,1,314
-0.160630,46.228740,19,90,1,314
-0.156640,46.218500,19,90,1,192
5.265840,43.859040,19,90,0,0
5.249140,43.854670,19,90,0,0
-1.449000,46.684200,19,90,1,297
3.991260,47.485610,19,90,1,120
3.992140,47.501230,19,90,1,4
3.992280,47.504400,19,90,1,182
4.014460,47.476100,19,90,1,301
4.032620,47.471860,19,90,1,151
1.688580,49.202880,19,90,1,315
3.306730,49.365280,19,110,1,242
3.518390,49.339910,19,110,1,127
3.474020,49.366510,19,110,1,291
3.588990,49.326510,19,110,1,311
3.441610,49.375390,19,110,1,61
3.100540,49.266230,19,110,1,267
3.132850,49.266710,19,110,1,55
3.323120,49.794290,19,110,1,164
3.335730,49.763590,19,110,1,348
3.013320,46.360680,19,110,1,254
2.996780,46.350560,19,110,1,41
3.878100,46.467890,19,110,1,124
3.810730,46.491380,19,110,1,112
3.828810,46.481790,19,110,1,321
3.742360,46.516820,19,110,1,116
3.760570,46.510270,19,110,1,298
3.969460,46.461770,19,110,1,78
3.897060,46.457610,19,110,1,298
3.078080,46.406640,19,110,1,68
-0.048420,49.126640,19,110,1,215
-0.039580,49.132980,19,110,1,46
-0.027670,49.139070,19,110,1,259
0.815490,45.890790,19,110,1,71
0.461600,45.827110,19,110,1,218
0.698210,45.868280,19,110,1,83
-0.763410,45.810440,19,110,1,299
-0.796880,45.828750,19,110,1,151
-0.227720,45.324680,19,110,1,207
6.084690,47.219140,19,110,1,131
6.251610,47.158420,19,110,1,298
6.291770,47.153590,19,110,1,102
6.308160,47.151870,19,110,1,279
6.385540,47.138570,19,110,1,120
6.558890,47.132180,19,110,1,316
-4.479250,48.415240,19,110,1,9
-4.174820,48.006560,19,110,1,294
-4.196400,48.011450,19,110,1,118
-0.888780,45.240550,19,110,1,331
-0.238380,44.505660,19,110,1,355
-0.239390,44.514420,19,110,1,176
-0.905720,45.262790,19,110,1,151
-0.724910,44.971410,19,110,1,317
-0.741530,44.984080,19,110,1,136
-0.178940,45.402330,19,110,0,0
5.223030,45.609860,19,110,1,95
5.531310,45.341380,19,110,1,95
5.765660,45.082210,19,110,1,19
5.555850,45.335830,19,110,1,280
4.840880,45.497120,19,110,1,32
3.357140,45.339900,19,110,1,170
3.364630,45.323620,19,110,1,325
3.413120,45.271650,19,110,1,183
3.424310,45.255480,19,110,1,312
3.920770,45.056590,19,110,1,111
4.002270,45.066030,19,110,1,269
3.266010,44.503960,19,110,0,0
4.397560,48.939060,19,110,1,326
4.142820,49.210920,19,110,1,315
3.954750,48.741580,19,110,1,62
4.016170,48.751980,19,110,1,279
4.144140,48.739600,19,110,1,96
4.253440,48.732250,19,110,1,264
4.463560,48.880260,19,110,1,145
4.571810,48.801010,19,110,1,315
3.671830,48.728230,19,110,1,275
3.566950,48.726970,19,110,1,71
4.872750,48.647220,19,110,1,277
4.874710,48.646210,19,110,1,102
-3.008890,47.900930,19,110,1,5
-2.980070,47.993460,19,110,1,177
6.931900,48.655870,19,110,1,232
2.999160,49.236900,19,110,1,77
2.131590,49.426700,19,110,1,110
2.440100,49.379990,19,110,1,287
2.998000,49.236780,19,110,1,77
3.023080,49.240200,19,110,1,272
