X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
5.511880,47.997040,3,30,1,13
4.288910,48.973550,3,50,1,33
5.278250,49.093850,3,50,1,168
5.621450,49.129100,3,50,1,31
-1.498460,43.462240,3,50,2,77
-1.154420,46.627120,3,50,1,263
-0.821170,46.435910,3,50,1,312
4.993620,45.821070,3,70,1,239
5.031830,45.827240,3,70,1,144
5.613820,46.223750,3,70,1,215
5.614160,46.223580,3,70,1,30
3.240690,49.861400,3,70,1,120
3.294820,49.812330,3,70,1,310
3.135790,46.098010,3,70,1,20
2.966330,46.327640,3,70,1,192
6.028820,44.440920,3,70,1,341
7.066400,43.604440,3,70,1,88
7.078370,43.602520,3,70,1,84
7.188330,43.700000,3,70,1,177
7.191450,43.707460,3,70,1,54
7.378850,43.744160,3,70,1,240
7.378970,43.743880,3,70,1,51
1.615610,43.154080,3,70,1,177
1.635960,43.234490,3,70,1,232
2.741240,43.171870,3,70,1,349
2.418270,43.202010,3,70,1,315
2.310140,43.199790,3,70,1,53
2.099940,43.238890,3,70,1,40
1.946840,43.290760,3,70,1,38
3.025220,44.134080,3,70,1,134
3.025530,44.134270,3,70,1,316
4.544330,43.690300,3,70,1,150
4.857830,43.638140,3,70,1,267
5.172600,43.594200,3,70,1,112
5.393700,43.282340,3,70,1,90
5.393700,43.282600,3,70,1,292
5.503050,43.661420,3,70,1,254
5.541280,43.482990,3,70,1,287
5.590420,43.204860,3,70,1,122
5.590920,43.205300,3,70,1,301
5.597860,43.324400,3,70,1,215
5.643980,43.366760,3,70,1,94
-0.076540,49.229670,3,70,1,253
-0.076390,49.229400,3,70,1,73
-1.218830,46.175940,3,70,1,270
-0.849110,45.944090,3,70,1,329
-0.880900,45.955060,3,70,1,132
2.064400,47.244190,3,70,1,270
1.617200,45.284190,3,70,1,213
5.034350,47.261650,3,70,1,7
5.138230,47.277090,3,70,1,295
0.430120,45.065140,3,70,1,47
1.167180,45.151110,3,70,1,124
6.670650,47.425190,3,70,1,125
4.763710,44.481470,3,70,1,270
4.791140,44.756950,3,70,1,202
4.794860,44.669120,3,70,1,190
4.879840,44.904960,3,70,1,90
4.887400,44.970620,3,70,1,5
5.097070,45.026140,3,70,1,260
0.307750,49.321950,3,70,1,122
0.308080,49.322140,3,70,1,305
0.364980,49.338090,3,70,1,262
0.365130,49.337540,3,70,1,81
0.601940,49.386350,3,70,1,330
0.602540,49.386540,3,70,1,331
0.835100,49.354100,3,70,1,0
0.835870,49.354100,3,70,1,0
1.232160,49.191450,3,70,1,157
1.232820,49.191610,3,70,1,336
4.182670,43.727190,3,70,1,247
0.595180,43.100210,3,70,1,173
0.895490,43.120210,3,70,1,130
1.352370,43.505210,3,70,1,57
1.426240,43.657760,3,70,1,160
1.500080,43.546100,3,70,1,327
1.507660,43.647660,3,70,1,251
0.756400,43.115770,3,70,1,163
1.696280,43.398560,3,70,1,46
1.351810,43.505750,3,70,1,239
1.616830,43.382500,3,70,1,230
-0.454000,44.659260,3,70,1,310
-0.435720,45.023280,3,70,1,159
-0.268910,44.885080,3,70,1,182
-0.228070,44.286010,3,70,1,11
-0.242170,44.445180,3,70,1,43
3.830850,43.562150,3,70,1,48
3.685010,43.477490,3,70,0,0
0.253900,47.269950,3,70,1,62
0.496600,47.638160,3,70,1,133
0.657950,47.218110,3,70,1,10
0.735320,47.312300,3,70,1,260
0.819370,47.490400,3,70,1,250
4.832980,45.475790,3,70,1,356
5.121070,45.648920,3,70,1,311
5.621030,45.283120,3,70,1,167
5.678590,45.045810,3,70,1,243
5.678860,45.045280,3,70,1,69
5.901220,45.271910,3,70,1,34
5.574220,46.848970,3,70,1,0
-1.399140,43.625770,3,70,1,221
-1.398620,43.625480,3,70,1,40
-1.103680,43.516930,3,70,1,17
-0.276730,43.664530,3,70,1,102
-0.270740,43.722100,3,70,1,358
-0.393980,43.947010,3,70,1,207
-0.343240,44.045000,3,70,1,204
-0.860330,44.346970,3,70,2,26
-1.180350,43.835180,3,70,2,26
4.120880,45.822160,3,70,1,62
4.241580,45.560260,3,70,1,117
-1.491620,47.114850,3,70,1,329
-1.196150,47.400840,3,70,1,249
-1.195880,47.400400,3,70,1,69
1.854440,47.949380,3,70,1,98
1.526820,44.990860,3,70,1,12
-0.603660,47.326270,3,70,1,12
-0.340940,47.539340,3,70,1,13
-0.340190,47.539220,3,70,1,24
3.984130,49.321260,3,70,1,148
4.078420,49.211650,3,70,1,295
4.320690,49.041410,3,70,1,185
4.323240,49.044600,3,70,1,97
4.435220,49.033500,3,70,1,273
4.883780,49.076260,3,70,1,33
-1.027570,48.083220,3,70,1,267
5.883510,48.629620,3,70,1,348
5.924390,49.198720,3,70,1,88
6.701650,49.136290,3,70,1,270
6.701710,49.135830,3,70,1,90
6.896810,49.075720,3,70,1,293
2.940450,47.437000,3,70,1,0
2.941270,47.436810,3,70,1,0
3.272970,50.229540,3,70,1,58
2.169240,49.205560,3,70,1,304
2.626430,49.215960,3,70,1,237
0.190830,48.632900,3,70,1,135
1.641830,50.688940,3,70,1,0
2.173040,50.718800,3,70,1,0
2.912570,50.324990,3,70,1,35
3.160810,45.841300,3,70,1,180
3.241420,45.828190,3,70,1,280
-1.553350,43.448420,3,70,1,97
-1.553220,43.448830,3,70,1,280
-1.186830,43.529760,3,70,1,254
-0.418700,43.345240,3,70,1,291
-1.749430,43.341060,3,70,2,56
-0.748870,43.467220,3,70,1,214
-0.350560,43.330580,3,70,1,294
-0.320970,43.471380,3,70,1,330
-0.292590,43.565230,3,70,1,20
-0.200020,43.272580,3,70,1,225
0.023640,43.220610,3,70,1,51
0.108210,43.213800,3,70,1,174
0.239970,43.177320,3,70,1,40
0.342620,43.103260,3,70,1,83
0.390250,43.097900,3,70,1,182
1.824580,42.539490,3,70,1,357
2.821120,42.527820,3,70,1,212
2.817440,42.523630,3,70,1,190
2.859190,42.666670,3,70,1,2
2.897270,42.781650,3,70,1,120
2.973020,42.938900,3,70,1,94
2.956150,43.033130,3,70,1,91
7.602000,48.769450,3,70,1,84
4.731540,45.973790,3,70,1,213
4.819360,45.900540,3,70,1,45
5.051400,45.672610,3,70,1,208
5.051830,45.672440,3,70,1,26
4.833110,46.755010,3,70,1,357
5.886600,45.602180,3,70,1,135
6.002810,45.513100,3,70,1,297
6.312230,45.619820,3,70,1,57
6.459150,45.218390,3,70,1,0
6.674130,45.194320,3,70,1,28
6.009900,46.119780,3,70,1,87
6.127710,45.990090,3,70,1,358
6.295420,46.152610,3,70,1,112
6.295710,46.153130,3,70,1,291
6.596610,46.046940,3,70,1,108
6.596720,46.047170,3,70,1,289
0.271750,49.450010,3,70,1,354
0.272260,49.450040,3,70,1,0
0.335140,49.551930,3,70,1,199
1.243100,49.646570,3,70,1,75
1.702820,49.759330,3,70,1,18
2.540440,48.428110,3,70,1,0
2.540790,48.425890,3,70,1,346
2.657940,48.588960,3,70,1,280
2.766930,48.176390,3,70,1,183
2.838150,48.853840,3,70,1,210
2.838630,48.853650,3,70,1,30
3.039140,48.952450,3,70,1,83
3.039810,48.946970,3,70,1,34
3.145360,49.009960,3,70,1,229
3.145640,49.009760,3,70,1,51
1.680980,48.983320,3,70,1,107
1.681250,48.983910,3,70,1,287
1.930710,48.553310,3,70,1,64
2.157420,48.913700,3,70,1,98
2.162190,48.913840,3,70,1,277
2.248800,49.853050,3,70,1,54
2.394950,49.859350,3,70,1,280
1.410390,44.052740,3,70,1,242
5.771850,43.146290,3,70,1,95
5.771950,43.146650,3,70,1,275
6.122650,43.257940,3,70,1,243
6.729320,43.468710,3,70,1,68
4.750670,44.290390,3,70,1,0
4.795660,44.135200,3,70,1,225
4.888640,43.982130,3,70,1,135
4.915590,43.892980,3,70,1,337
-1.346100,46.672980,3,70,1,240
0.289260,46.549000,3,70,1,124
6.981550,47.676090,3,70,1,247
6.981780,47.675760,3,70,1,65
