X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
4.209980,43.678920,7,18,0,0
4.993570,43.925900,7,18,2,164
1.170220,49.190660,7,19,2,91
4.785330,46.277240,7,19,0,0
-0.083390,47.810870,7,19,2,55
1.082730,49.440890,7,19,1,304
2.510440,48.953820,7,19,2,230
6.838590,44.149970,7,20,0,0
2.202520,44.585810,7,20,2,108
5.437280,43.577830,7,20,2,170
4.963900,47.153060,7,20,2,104
4.717300,44.489870,7,20,0,0
4.750800,44.593500,7,20,2,83
4.750870,44.595040,7,20,2,96
4.627080,44.161010,7,20,2,78
0.973120,43.180780,7,20,0,0
-0.926220,44.212520,7,20,2,119
3.902120,45.121620,7,20,0,0
3.501030,45.120710,7,20,1,94
-1.856270,47.344720,7,20,2,7
2.918980,49.503780,7,20,0,0
6.106570,47.631730,7,20,2,38
1.029230,49.303540,7,20,2,1
2.588060,48.867900,7,20,2,85
1.998260,48.945710,7,20,0,0
6.311070,43.369940,7,20,2,174
-0.906420,46.418530,7,20,2,22
-0.683140,46.412010,7,20,2,37
2.228900,49.022000,7,20,2,30
3.252120,49.858290,7,21,2,18
5.071310,43.745190,7,21,2,72
-2.587780,47.725280,7,21,2,164
6.102060,47.634040,7,21,2,26
4.910140,46.497120,7,21,2,121
3.280930,48.789660,7,21,2,22
5.053270,43.910930,7,21,0,0
3.970920,47.860520,7,21,2,56
-1.011020,49.233280,7,22,2,175
4.140560,44.037090,7,22,2,36
5.720290,45.192430,7,22,2,93
5.724130,45.192720,7,22,2,79
5.729440,45.194070,7,22,2,46
5.730660,45.194940,7,22,2,45
-1.517710,48.844730,7,22,2,157
-0.397670,48.156200,7,22,2,87
-3.431970,47.982380,7,22,2,1
5.026380,43.959590,7,22,2,187
-0.870450,46.373650,7,22,2,135
3.139230,46.149530,7,23,2,86
3.140270,46.147250,7,23,2,43
6.615370,44.322480,7,23,2,119
7.270070,43.696570,7,23,1,161
2.757740,43.197370,7,23,2,18
4.941890,43.589410,7,23,2,180
5.072800,43.741550,7,23,2,66
4.740980,44.548110,7,23,2,90
4.101980,45.964490,7,23,0,0
-1.746750,46.996090,7,23,2,137
-1.023210,47.373690,7,23,0,0
3.304950,44.664000,7,23,0,0
2.371680,51.035730,7,23,2,133
3.477600,45.960760,7,23,2,95
-0.439890,43.327100,7,23,2,42
2.164830,48.805430,7,23,2,176
5.437180,43.704160,7,23,2,1
3.865810,47.938100,7,23,2,30
3.439440,46.090360,7,24,2,113
3.440460,46.092330,7,24,2,129
7.257550,43.702990,7,24,2,161
7.263440,43.695120,7,24,1,172
7.280510,43.703400,7,24,1,28
4.752180,43.849040,7,24,2,117
4.772910,43.878420,7,24,2,105
0.220500,49.179090,7,24,2,86
1.332210,45.468960,7,24,2,3
4.703300,44.369620,7,24,2,148
1.225410,49.236450,7,24,2,101
1.616010,48.501770,7,24,2,145
0.599590,43.653170,7,24,2,149
-0.700990,44.771230,7,24,2,108
3.882810,43.606400,7,24,2,114
3.911580,45.186630,7,24,1,150
4.046280,49.076390,7,24,0,0
5.784920,49.307470,7,24,2,125
2.471720,49.234430,7,24,0,0
-1.470650,43.494980,7,24,2,129
7.530840,48.563100,7,24,0,0
7.685140,48.521280,7,24,2,103
0.251650,48.340320,7,24,2,150
1.103320,49.597120,7,24,2,131
1.199820,49.508480,7,24,2,148
2.128800,48.891780,7,24,2,120
2.129000,48.891980,7,24,2,118
2.137480,48.889170,7,24,2,35
4.815760,44.139490,7,24,2,52
4.867350,44.014550,7,24,2,105
4.998680,44.037320,7,24,0,0
5.333150,44.047890,7,24,0,0
2.096390,49.027500,7,24,2,30
2.331270,48.969640,7,24,2,329
5.335990,46.037330,7,25,2,110
3.341050,46.566470,7,25,2,99
6.853950,44.089430,7,25,2,64
6.858040,44.092790,7,25,2,73
2.972310,43.017640,7,25,2,151
-0.696810,49.269480,7,25,2,168
-0.531680,46.075210,7,25,2,106
4.313260,47.380440,7,25,0,0
5.983870,47.031220,7,25,0,0
6.037830,47.251430,7,25,2,34
4.745410,44.561710,7,25,2,122
4.596280,43.917440,7,25,2,28
4.618080,44.161810,7,25,2,28
0.608910,42.867650,7,25,2,128
-0.314280,44.895320,7,25,2,18
-1.682090,48.121210,7,25,1,214
-1.674820,48.083670,7,25,1,181
5.973690,44.789300,7,25,0,0
3.924950,45.153210,7,25,0,0
-1.343970,49.383670,7,25,2,47
5.142260,47.676870,7,25,2,10
3.078780,50.649160,7,25,2,35
-0.372860,48.703320,7,25,2,56
7.728280,48.578900,7,25,2,134
7.409810,47.746470,7,25,2,45
4.753900,46.080010,7,25,0,0
4.040020,46.402110,7,25,2,140
4.797620,46.273100,7,25,2,112
4.876970,46.422010,7,25,2,95
-0.339170,47.842570,7,25,2,135
0.369520,48.029840,7,25,2,162
0.408560,48.040950,7,25,2,71
4.798720,43.941420,7,25,2,12
-1.023700,46.467460,7,25,2,14
1.192770,45.540730,7,25,2,41
3.338260,47.985460,7,25,2,11
7.073960,43.566530,7,26,1,236
7.278990,43.710430,7,26,2,184
4.998790,43.413480,7,26,2,151
5.003930,43.413620,7,26,2,156
0.043860,45.271120,7,26,0,0
2.485950,46.724220,7,26,2,48
2.614230,47.038260,7,26,0,0
4.712820,47.411250,7,26,2,36
6.362140,47.354470,7,26,2,19
4.691240,44.376570,7,26,2,90
1.215760,49.287320,7,26,0,0
1.374250,48.732580,7,26,2,130
-4.491680,48.383460,7,26,2,40
-4.491170,48.383840,7,26,2,40
-3.515660,47.852720,7,26,2,24
1.219470,43.304140,7,26,2,162
-0.966710,44.636960,7,26,2,131
-0.232110,44.935360,7,26,2,111
3.411820,43.408540,7,26,1,333
3.412410,43.394280,7,26,2,70
3.968950,43.552370,7,26,1,189
-1.756800,48.016480,7,26,0,0
-1.755500,48.013010,7,26,0,0
5.496350,45.179220,7,26,0,0
5.893700,46.775570,7,26,0,0
3.911890,45.186890,7,26,1,326
1.904520,47.914380,7,26,2,173
1.932000,47.721200,7,26,0,0
2.746230,47.998230,7,26,2,77
0.630740,44.205910,7,26,0,0
6.183150,48.686130,7,26,2,65
-3.371520,47.757380,7,26,0,0
-2.730520,47.673340,7,26,0,0
-2.717040,47.685580,7,26,2,123
0.091400,48.456490,7,26,2,53
1.621550,50.776930,7,26,0,0
3.028390,42.729220,7,26,2,81
7.488020,47.634710,7,26,2,77
4.768820,45.460830,7,26,2,154
0.116580,49.484340,7,26,2,162
1.070710,49.552330,7,26,2,109
1.072390,49.556320,7,26,2,92
1.094300,49.443640,7,26,1,207
2.600450,48.876000,7,26,1,84
2.602490,48.876160,7,26,1,263
2.755530,48.434970,7,26,2,128
1.942590,48.755550,7,26,2,155
2.137250,48.888720,7,26,2,32
2.139830,48.888290,7,26,2,114
2.264760,49.927980,7,26,2,25
6.003500,43.115600,7,26,2,25
6.162580,43.122230,7,26,2,119
6.032310,43.143790,7,26,2,128
5.314160,44.063590,7,26,0,0
1.473220,45.989780,7,26,2,134
1.478240,45.993280,7,26,2,147
2.371070,48.715020,7,26,2,127
2.383480,48.678990,7,26,2,40
2.430800,48.638090,7,26,1,139
2.363800,48.742220,7,26,1,170
2.115780,49.045190,7,26,2,118
2.085990,42.758110,7,27,2,24
2.515880,43.185360,7,27,2,12
-0.028240,45.600960,7,27,2,135
1.530280,46.091510,7,27,0,0
6.101330,46.861210,7,27,2,33
-3.914740,47.887890,7,27,2,68
4.170110,43.715360,7,27,0,0
0.589280,43.056710,7,27,2,69
5.324340,45.151140,7,27,0,0
4.379050,45.443500,7,27,2,105
4.256220,45.311950,7,27,0,0
4.345100,45.219810,7,27,0,0
-1.318770,47.111650,7,27,2,55
-1.645290,49.613100,7,27,0,0
2.222690,51.000700,7,27,0,0
2.487850,50.799960,7,27,2,49
3.939210,50.122910,7,27,2,51
3.237370,45.773030,7,27,2,115
2.481780,42.837820,7,27,2,167
2.501990,42.813660,7,27,2,8
5.565890,47.449750,7,27,2,181
5.759660,47.822220,7,27,2,170
