X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
7.368860,43.729190,4,70,1,92
7.382230,43.732120,4,70,1,25
-1.195840,45.862590,4,70,1,130
-1.164520,45.845750,4,70,1,88
4.995730,47.346040,4,70,1,266
4.985020,47.336750,4,70,1,217
6.030770,47.210710,4,70,1,281
6.010130,47.215350,4,70,1,250
4.141620,44.171110,4,70,1,228
4.117630,44.159860,4,70,1,229
4.117630,44.159860,4,70,1,48
4.141620,44.171110,4,70,1,52
-2.178320,47.297660,4,70,1,163
-2.162060,47.268880,4,70,1,160
-2.161720,47.268440,4,70,1,348
-2.178320,47.297660,4,70,1,344
-0.326540,43.326570,4,70,1,278
-0.347490,43.328850,4,70,1,256
4.385160,46.696610,4,70,1,24
4.421430,46.707090,4,70,1,51
1.926580,48.707140,4,70,1,301
1.903830,48.711410,4,70,1,309
1.907740,48.694100,4,70,1,358
1.896450,48.697970,4,70,1,344
5.915230,43.127110,4,70,1,83
5.950930,43.120600,4,70,1,48
5.950930,43.120600,4,70,1,228
5.915230,43.127110,4,70,1,263
2.203310,48.839530,4,70,1,94
2.217870,48.839130,4,70,1,91
2.243800,48.848480,4,70,1,270
2.232840,48.848390,4,70,1,273
3.519460,46.531810,4,80,1,79
3.584580,46.534530,4,80,1,91
5.748770,44.519170,4,80,1,221
5.729920,44.497750,4,80,1,200
4.676310,45.024780,4,80,1,51
4.726580,45.051060,4,80,1,347
4.297770,44.410440,4,80,1,60
4.315360,44.421750,4,80,1,72
4.315360,44.421780,4,80,1,251
4.297780,44.410440,4,80,1,240
4.572080,44.581740,4,80,1,297
4.545110,44.591540,4,80,1,274
4.401550,43.548500,4,80,1,23
4.444060,43.582340,4,80,1,99
4.444060,43.582340,4,80,1,278
4.401540,43.548500,4,80,1,208
4.947860,43.470680,4,80,1,72
4.965770,43.495260,4,80,1,9
4.965650,43.495220,4,80,1,189
4.947773,43.470712,4,80,1,251
5.175690,43.554590,4,80,1,298
5.142210,43.583430,4,80,1,299
0.210650,45.632910,4,80,1,215
0.181950,45.625210,4,80,1,283
-1.221940,46.175590,4,80,1,260
-1.255250,46.164390,4,80,1,230
-1.255250,46.164390,4,80,1,50
-1.221940,46.175590,4,80,1,80
1.199080,44.895000,4,80,1,178
1.207670,44.878850,4,80,1,144
6.606680,47.117830,4,80,1,271
6.586780,47.124930,4,80,1,302
6.341250,46.976370,4,80,1,144
6.342960,46.941250,4,80,1,178
6.031910,47.118900,4,80,1,112
6.043080,47.099460,4,80,1,102
5.209130,45.060260,4,80,1,248
5.169160,45.048810,4,80,1,290
5.169160,45.048810,4,80,1,110
5.209130,45.060260,4,80,1,68
1.489180,49.109630,4,80,1,38
1.508660,49.126600,4,80,1,73
4.612710,44.136910,4,80,1,175
4.615170,44.113220,4,80,1,180
4.625550,43.782990,4,80,1,195
4.607570,43.726670,4,80,1,167
1.338420,43.710960,4,80,1,326
1.304500,43.751450,4,80,1,341
3.521200,43.628990,4,80,1,231
3.509740,43.622180,4,80,1,231
3.415810,43.414360,4,80,1,39
3.416940,43.439190,4,80,1,359
3.189300,43.520060,4,80,1,163
3.228910,43.398550,4,80,1,181
3.246520,43.619850,4,80,1,305
3.176590,43.612090,4,80,1,274
0.856880,47.400410,4,80,1,66
0.898080,47.404310,4,80,1,95
5.697620,45.119550,4,80,1,167
5.709930,45.103070,4,80,1,96
5.706630,45.103950,4,80,1,309
5.697480,45.120110,4,80,1,347
3.854400,44.846590,4,80,1,142
3.885160,44.784250,4,80,1,148
1.877690,48.016270,4,80,1,166
1.881030,47.995940,4,80,1,173
-0.348500,48.577690,4,80,1,253
-0.374450,48.574220,4,80,1,284
0.524170,48.527690,4,80,1,188
0.527340,48.511370,4,80,1,168
2.463990,50.179700,4,80,1,60
2.489840,50.188630,4,80,1,60
2.648330,50.235990,4,80,1,250
2.615770,50.227710,4,80,1,249
1.711100,50.699130,4,80,1,141
1.753690,50.682680,4,80,1,103
2.582140,42.810740,4,80,1,274
2.516860,42.814110,4,80,1,249
2.518720,42.814650,4,80,1,65
2.583260,42.810550,4,80,1,103
7.568530,48.747640,4,80,1,170
7.560940,48.735310,4,80,1,175
0.772360,49.758070,4,80,1,176
0.774510,49.739550,4,80,1,163
0.742230,49.502840,4,80,1,162
0.751510,49.492750,4,80,1,148
4.946280,44.329400,4,80,1,13
4.973840,44.362980,4,80,1,28
5.168390,43.755000,4,80,1,275
5.092390,43.783890,4,80,1,297
7.070650,48.290000,4,80,1,197
7.053360,48.273650,4,80,1,231
