X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
3.049110,50.648470,8,0,1,232
3.141750,50.749630,8,0,1,189
1.112490,45.871930,8,0,0,0
3.992030,47.510580,8,0,1,357
1.896420,44.857000,8,30,1,25
-0.634500,47.398420,8,30,0,0
-1.649440,49.578610,8,30,1,313
6.143900,48.792400,8,30,1,242
6.199200,48.748500,8,30,1,156
6.197200,48.645200,8,30,0,0
5.352900,49.170800,8,30,1,35
5.363800,49.164600,8,30,1,119
4.707270,46.001160,8,30,1,252
2.402560,48.636230,8,30,1,296
2.448030,48.752110,8,30,1,22
2.452330,48.750320,8,30,2,16
2.452360,48.741310,8,30,1,354
2.547150,48.774750,8,30,1,30
5.889610,46.031580,8,40,2,46
2.442500,48.779720,8,40,0,0
2.435560,48.781940,8,40,0,0
5.832380,46.107480,8,50,0,0
6.056990,46.335920,8,50,0,0
3.276840,49.864610,8,50,1,87
3.299560,49.838040,8,50,1,71
3.302830,49.838060,8,50,0,0
3.333130,49.396870,8,50,0,0
2.963770,46.322880,8,50,1,39
3.207700,46.099480,8,50,1,87
3.457900,46.145770,8,50,1,10
3.603100,46.247490,8,50,1,95
5.780510,43.959190,8,50,1,222
6.512220,43.846410,8,50,1,174
5.880110,43.928470,8,50,0,0
6.998630,43.549160,8,50,2,93
7.006000,43.552090,8,50,1,172
7.516440,43.912020,8,50,1,3
7.528930,43.786020,8,50,1,252
7.531530,43.880430,8,50,1,275
7.569690,44.138560,8,50,1,73
4.798450,45.188800,8,50,1,174
2.221760,42.783940,8,50,1,232
3.968280,44.073070,8,50,1,337
1.413780,43.688580,8,50,1,328
0.586520,43.642570,8,50,2,19
2.755120,43.488460,8,50,1,30
-2.160910,47.332540,8,50,2,146
2.739960,47.975810,8,50,1,33
3.494140,44.518130,8,50,1,280
3.196990,44.444410,8,50,0,0
4.801290,49.091400,8,50,1,118
4.863940,48.589560,8,50,1,34
4.957090,48.647860,8,50,1,226
5.597590,49.446990,8,50,1,118
5.915810,48.625310,8,50,1,314
6.150690,48.746730,8,50,1,149
6.163440,48.673620,8,50,1,61
6.193430,48.680390,8,50,1,342
6.225100,48.748100,8,50,0,0
5.367800,49.160800,8,50,0,0
6.940280,49.195280,8,50,1,106
3.160280,46.980280,8,50,0,0
2.371470,50.728470,8,50,1,221
3.180830,50.695280,8,50,2,83
3.312870,50.101330,8,50,1,271
3.349170,50.108050,8,50,1,85
3.404070,50.126370,8,50,1,42
3.970680,50.342620,8,50,1,176
3.282900,50.524930,8,50,0,0
3.416510,50.117270,8,50,0,0
3.422030,50.125930,8,50,0,0
1.601420,50.404380,8,50,1,254
1.625840,50.509440,8,50,1,269
1.636300,50.513300,8,50,1,197
2.147820,50.634890,8,50,2,229
1.610510,50.485810,8,50,0,0
1.614420,50.455710,8,50,0,0
3.120290,45.761070,8,50,1,320
-0.328890,43.458060,8,50,1,292
-0.306100,43.511870,8,50,1,173
7.453520,48.265710,8,50,1,35
7.562560,47.587120,8,50,1,149
7.571410,47.577600,8,50,1,146
4.860090,45.785110,8,50,1,183
6.039440,45.961940,8,50,1,157
2.380300,48.826670,8,50,0,0
2.380280,48.828190,8,50,0,0
2.391270,48.827750,8,50,0,0
1.722060,49.485680,8,50,1,86
3.191290,48.482930,8,50,2,352
1.800940,48.768290,8,50,1,145
2.055920,48.794470,8,50,1,23
2.913810,50.035160,8,50,1,191
7.012290,47.502990,8,50,1,332
2.934870,49.929480,8,50,2,45
6.839860,47.623200,8,50,0,0
2.935700,49.930070,8,50,0,0
6.109210,43.167560,8,50,1,75
6.449370,43.449770,8,50,1,84
3.518140,48.022860,8,50,2,355
3.735870,47.662420,8,50,1,145
3.917360,47.491830,8,50,1,257
2.125410,48.740080,8,50,2,338
2.225430,48.827890,8,50,1,331
2.369390,48.962560,8,50,1,167
2.450080,48.728690,8,50,2,13
2.494080,48.739390,8,50,2,119
2.439170,48.774170,8,50,0,0
2.536270,49.027250,8,50,1,341
2.470800,50.486170,8,60,1,103
3.295100,49.828830,8,70,1,320
7.241320,43.680500,8,70,1,44
-4.080900,48.616530,8,70,1,40
5.663660,45.028960,8,70,1,34
5.988820,46.572450,8,70,1,324
-1.691000,47.244720,8,70,1,264
1.940390,47.924420,8,70,2,144
2.569290,47.634120,8,70,1,226
0.625800,44.547300,8,70,1,6
0.669820,44.493350,8,70,1,172
0.533220,44.653030,8,70,0,0
3.588140,44.332850,8,70,1,123
4.994630,49.108140,8,70,1,230
5.808890,48.636670,8,70,1,332
3.136570,50.599880,8,70,1,298
3.154390,50.700710,8,70,1,40
3.261860,50.488400,8,70,1,194
3.673230,50.056360,8,70,0,0
0.710650,48.260760,8,70,1,66
0.454070,43.299810,8,70,0,0
7.325880,47.962810,8,70,1,20
4.842400,45.715190,8,70,1,167
4.843300,45.714790,8,70,1,358
4.844240,45.715990,8,70,1,266
4.896190,45.729320,8,70,1,281
4.553340,46.962030,8,70,1,277
5.989210,45.479740,8,70,1,210
6.860700,45.911550,8,70,1,67
6.894260,47.583490,8,70,1,320
1.423210,45.759770,8,70,1,285
1.186820,45.936370,8,70,0,0
3.597820,47.837980,8,70,1,5
3.610880,47.955530,8,70,0,0
2.432660,48.611660,8,70,1,285
2.205530,48.839490,8,70,1,93
2.340480,48.757590,8,70,1,326
5.654170,46.295830,8,80,1,336
5.657220,46.291110,8,80,1,321
5.895220,46.121760,8,80,0,0
2.891030,46.323320,8,80,0,0
5.561610,43.857430,8,80,1,314
5.702340,44.645350,8,80,1,18
6.895980,43.523730,8,80,1,24
7.065320,43.560500,8,80,1,204
1.795050,42.576840,8,80,1,33
2.941710,43.057880,8,80,1,152
-0.556110,45.569420,8,80,2,337
-2.727580,48.500530,8,80,1,143
0.573540,44.684040,8,80,1,336
-4.315180,47.911880,8,80,2,298
0.618850,43.774270,8,80,2,179
-0.184270,44.956880,8,80,2,44
2.662730,43.477560,8,80,2,87
5.698620,45.116580,8,80,2,167
